timestamp_iso,epoch_s,label,target,target_type,status,latency_ms,error
2026-05-18T18:54:47.342885-05:00,1779148487.342874,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:47.372099-05:00,1779148487.372089,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:47.391435-05:00,1779148487.391427,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:48.352031-05:00,1779148488.352020,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:48.380642-05:00,1779148488.380632,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:48.396907-05:00,1779148488.396895,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:49.357781-05:00,1779148489.357770,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:49.385211-05:00,1779148489.385199,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:49.404699-05:00,1779148489.404685,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:50.363066-05:00,1779148490.363055,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:50.390923-05:00,1779148490.390913,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:50.407129-05:00,1779148490.407113,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:51.370594-05:00,1779148491.370583,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:51.399060-05:00,1779148491.399048,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:51.418298-05:00,1779148491.418283,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:52.273289-05:00,1779148492.273278,dns_hostname,google.com,icmp_dns,OK,,
2026-05-18T18:54:52.368426-05:00,1779148492.368417,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:52.396399-05:00,1779148492.396387,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:52.417151-05:00,1779148492.417143,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:53.379392-05:00,1779148493.379380,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:53.408375-05:00,1779148493.408365,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:53.427975-05:00,1779148493.427963,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:54.383374-05:00,1779148494.383364,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:54.411668-05:00,1779148494.411655,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:54.431581-05:00,1779148494.431570,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:55.384146-05:00,1779148495.384136,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:55.412053-05:00,1779148495.412044,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:55.430774-05:00,1779148495.430766,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:56.387000-05:00,1779148496.386991,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:56.416463-05:00,1779148496.416454,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:56.435039-05:00,1779148496.435027,google_dns,8.8.8.8,icmp,OK,,
2026-05-18T18:54:57.270630-05:00,1779148497.270614,dns_hostname,google.com,icmp_dns,OK,,
2026-05-18T18:54:57.390337-05:00,1779148497.390324,router,192.168.4.1,icmp,OK,,
2026-05-18T18:54:57.419419-05:00,1779148497.419408,cloudflare_dns,1.1.1.1,icmp,OK,,
2026-05-18T18:54:57.440497-05:00,1779148497.440488,google_dns,8.8.8.8,icmp,OK,,
